id,weight,KV1,KV2,KV3,KV4,KV5,KV6,KV7,KV8,KV9,KV10,KV11,KV12,KV13,KV14,KV15,KV16,KV17,KV18,KV19,none
8,1,0.95491201,0.01808043,0.15236787,-2.03052785,-1.19217147,-1.44240251,-0.62217912,-1.14915303,1.46001969,0.12845924,0.63626846,0.01935609,0.14330524,-0.34758126,-0.24832936,-0.18538277,1.52215688,0.844304,1.33849746,-1.97552192
13,1,0.89803839,-0.01593375,-0.62461498,-1.57800018,-0.42720841,-0.06515637,0.00430783,-0.78190961,-0.72801285,1.18472252,-0.89710643,-0.774787,-0.52889671,0.19826608,-0.74585255,1.04197843,1.4751661,0.82788747,1.53711202,-0.65086499
18,1,-0.38822014,-0.01150791,0.01645984,-0.0038818,-0.16776699,0.39837072,0.61240701,0.51153986,-0.49151113,-0.2980712,-1.27066875,-0.86845855,-0.6687187,0.04057899,-0.38532041,0.44874057,1.60939215,0.42963773,0.48699871,-1.42842299
21,1,-0.23304187,-0.041469,0.42720999,-1.12275124,-0.70497648,-0.07946389,-0.64752237,0.21623038,0.0918372,-0.43587702,0.98043632,0.05152767,-0.47308847,0.8842072,0.92027943,0.02611287,0.31283182,0.15449915,-0.32698169,-13.03942839
23,1,1.06632926,0.26842412,-0.11209561,-2.20820764,-0.16336333,-0.55839537,-0.63062368,0.23805541,-0.46799401,0.20541416,0.56827862,-0.43366548,-0.46505139,0.27623606,0.38307376,1.47207317,1.02449902,-0.39180203,-0.07118504,-2.37597057
28,1,0.0051905,0.40324204,-0.01284219,-1.49910207,-1.3123414,-1.57435074,-0.71274544,-0.89470201,1.65001926,-0.15909869,0.71134685,-0.18237198,0.40219812,0.64456822,0.04638095,0.94620293,-0.28163312,0.74638228,1.07365649,-1.19289356
30,1,1.23873853,0.62318328,0.28851615,-1.49467269,-1.4272983,-1.37516465,-1.01255499,-1.28769019,0.78840862,0.44577538,0.57212161,0.24841574,0.59790126,-0.1736142,0.88725788,0.30602334,0.19845989,0.84417218,-0.26797884,0.15250909
33,1,1.13600909,0.0865503,0.060438,-0.91339687,-0.82853924,-0.66325112,-0.68028766,-0.63107495,1.01234184,0.24530245,-0.33532243,-0.60847494,-0.23534938,0.10049562,0.13937275,0.60702477,1.23327336,-0.07970645,0.35459486,-2.28937657
37,1,0.21035581,-0.51568307,0.07877014,-0.38050229,-1.65893794,-1.0924843,-1.54044277,-1.03606566,1.49141794,-0.33463684,0.61729392,-0.16232302,0.18180207,0.40788962,0.24978838,1.29807396,1.05922247,0.3590218,0.76743978,-1.92116543
45,1,0.16771636,-1.24253053,-0.19185354,-1.04465362,-1.33527347,-0.4495602,-1.05522298,-1.09597202,-0.0554,0.3294497,-0.29051364,-0.51408447,0.43190546,0.60693178,0.72140676,1.24832836,1.34508615,1.15347708,1.27076282,-2.42957291
