"Preference Share","1° Item","2° Item","3° Item"
0.346506554117961,"KV1","KV3","KV9"
0.334483555747701,"KV1","KV9","KV10"
0.331556693393732,"KV3","KV9","KV10"
0.327043746873041,"KV1","KV9","KV13"
0.326669929530282,"KV1","KV9","KV14"
0.326631614726549,"KV1","KV2","KV9"
0.325885842185377,"KV1","KV9","KV15"
0.323828321551723,"KV3","KV9","KV13"
0.323437313481925,"KV2","KV3","KV9"
0.323423575887329,"KV3","KV9","KV14"
0.322580822688206,"KV3","KV9","KV15"
0.317875244789056,"KV1","KV9","KV11"
0.314745027121787,"KV3","KV9","KV11"
0.310389424941396,"KV1","KV9","KV12"
0.310205586859509,"KV2","KV9","KV10"
0.309849797525057,"KV9","KV10","KV13"
0.308972397626189,"KV9","KV10","KV14"
0.308933581162273,"KV9","KV10","KV15"
0.308530866546059,"KV1","KV6","KV9"
0.308421034174056,"KV1","KV8","KV9"
0.306941510190947,"KV3","KV9","KV12"
0.305142984156961,"KV3","KV6","KV9"
0.305113802153193,"KV1","KV5","KV9"
0.305107285964954,"KV1","KV7","KV9"
0.304952997155173,"KV3","KV8","KV9"
0.301784849696048,"KV2","KV9","KV13"
0.301588467445344,"KV3","KV7","KV9"
0.301583043191906,"KV3","KV5","KV9"
0.301351698805852,"KV2","KV9","KV14"
0.300927784533366,"KV9","KV13","KV14"
0.300783945509254,"KV2","KV9","KV15"
0.300348161297074,"KV9","KV13","KV15"
0.30019039349648,"KV9","KV10","KV11"
0.299682716158178,"KV9","KV14","KV15"
0.298668149894817,"KV1","KV3","KV10"
0.2965044390642,"KV1","KV4","KV9"
0.293082842564363,"KV3","KV4","KV9"
0.29220062703703,"KV9","KV10","KV12"
0.291985761285754,"KV2","KV9","KV11"
0.291586528653593,"KV9","KV11","KV13"
0.290759869169537,"KV6","KV9","KV10"
0.290439746089302,"KV8","KV9","KV10"
0.290316585101586,"KV9","KV11","KV14"
0.290249080925322,"KV9","KV11","KV15"
0.290228973989787,"KV1","KV3","KV14"
0.290124007003189,"KV1","KV3","KV13"
