Item,Owner,Fixed,Weight,Size,Price,Distribution,Bucket
1,Client,No,0.560336049,1,4050,0.8,
2,Client,Yes,0,1,8050,0.4,
3,Client,Yes,0,1,12070,0.4,
4,Client,Yes,0,1,4650,0.2,
5,Client,Yes,0,1,9050,0.2,
6,Client,No,0.510665299,1,2640,0.77,
7,Client,Yes,0,1,5250,0.4,
8,Client,No,0.148328515,1,4050,0.37,
9,Client,Yes,0,1,8050,0.2,
10,Client,Yes,0,1,12070,0.2,
11,Client,Yes,0,1,4650,0.2,
12,Client,Yes,0,1,9050,0.2,
13,Client,Yes,0,1,5650,0.2,
14,Client,Yes,0,1,8050,0.2,
15,Client,Yes,0,1,4700,0.2,
16,Client,Yes,0,1,9400,0.2,
17,Client,Yes,0,1,8050,0.2,
18,Client,Yes,0,1,5250,0.2,
19,Client,Yes,0,1,12920,0.2,
20,Competitor,Yes,0.360989912,1,3750,0.34,
21,Competitor,Yes,0.226981615,1,2640,0.32,
22,Competitor,Yes,0.356008821,1,2640,0.64,
23,Client,No,1.770563873,1,1890,0.52,
24,Client,Yes,0,1,3770,0.52,
25,Client,Yes,0,1,7500,0.52,
26,Competitor,Yes,6.99512984,1,800,0.51,
none,,,0.65,1,0,1,
