id,weight,SKU1,SKU2,SKU3,SKU4,SKU5,SKU6,SKU7,SKU8,SKU9,SKU10,SKU11,SKU12,SKU13,SKU14,SKU15,SKU16,SKU17,SKU18,SKU19,SKU20,SKU21,SKU22,SKU23,SKU24,SKU25,SKU26,none
2,0.891866488,-1.165239326,0.522682267,1.074913269,-1.254229213,0.596332798,-2.221887176,-0.727065617,-0.82201922,0.401959031,0.189192258,-1.247770534,-0.18775376,0.138525597,0.653241258,-1.218793373,0.3156599,-1.114523691,0.564866361,0.612002304,-2.403771524,-0.946381106,-0.640720015,-3.350389945,-2.387964535,-1.534732198,-3.501897192,-1.567658721
9,0.298305767,-4.863806303,-5.229123622,-4.538788081,-5.569864066,-4.796711238,-4.556590078,-4.323550381,-1.095695731,-1.088424564,-1.299696933,-0.327553487,-0.912330664,-0.726308713,-0.78714297,-4.459335691,-4.60372736,-3.329804114,-1.443461437,-4.223928035,-3.656043046,0.76733442,-1.498580114,-2.226387624,-2.323240376,-1.884549258,-2.708513183,-0.826929254
19,0.298305767,-1.094284189,1.170277799,1.98150323,-0.734229823,1.60292304,-2.984321779,-1.576552399,-0.927831101,0.946103865,0.907566253,-0.755558871,0.524505925,-1.016748804,-0.603375016,-0.434051364,1.332195606,-1.573318423,0.430552207,2.026921525,-1.289809057,-1.215143048,-0.557539229,-4.972759085,-4.20980703,-3.155302598,-5.606449353,-1.035214937
21,0.683292159,-1.242657411,0.652835992,1.31171198,-0.916089402,1.203602357,-1.679534962,-0.276967746,-1.162022244,-0.083436938,-0.205177501,-1.13370607,-0.279527054,-0.929380144,-1.060413524,-0.043620154,1.231224758,-0.312935023,1.145439784,1.731449293,-0.779300035,-1.717973291,-0.517922605,-3.986097554,-2.952228825,-2.293325124,-4.506211847,-1.475494944
29,0.298305767,-2.377822607,-0.690533964,-0.040623429,-2.191570517,-0.306503141,-2.476771673,-0.806182117,-0.516441154,0.500856079,0.447091442,-0.565401062,0.2592262,-0.008086506,-0.321010045,-1.109017859,0.349278536,0.020217046,1.502265721,0.418228937,-2.237195865,-1.611170796,-1.736844417,-4.650660188,-3.485295577,-2.944875411,-5.297065649,-0.699168688
44,0.298305767,1.238854792,1.903878531,1.105883377,1.58459411,1.805331302,-0.236905664,-0.067172966,-1.843256538,-1.717539682,-2.562247664,-2.737397935,-2.52671862,-1.704573723,-2.085830313,0.089761603,0.691714055,-2.263151096,-1.070566902,0.400576304,-0.719590984,-2.413980907,-0.329858535,-2.380747771,-1.870027451,-2.51918081,-3.029355645,-1.714703612
47,0.298305767,-1.086001421,0.014799816,0.154463081,-1.044954124,0.325424023,-1.853528515,-0.832326522,-0.043328312,0.552472284,0.199064723,-0.290076258,0.200529511,0.071636044,-0.257159334,-0.802443544,0.192700468,-0.631645912,0.664038959,0.255169289,-1.284037925,-0.787185078,-0.801766352,-3.458951812,-2.787214105,-2.485910863,-4.193312039,-1.549643549
52,0.298305767,-1.595554356,-0.161361427,0.087254587,-1.550224715,-0.049070969,-2.095616659,-0.638294736,-0.38013222,0.244690198,-0.052014774,-0.85103114,-0.087994812,-0.014454506,-0.44125156,-1.11465556,0.136340188,-0.452924058,1.181740694,0.067330111,-1.93746206,-1.457911729,-1.36038983,-4.46404278,-3.369750814,-3.103837763,-5.019128913,-0.922829617
64,0.84568947,-0.312003794,0.829634902,0.4610842,-0.481954493,0.820463131,-0.314467803,0.246050463,-3.492765979,-3.11913023,-3.923778782,-4.053077888,-3.628428685,-2.198029408,-2.196718871,-0.825403389,0.079566489,-2.533772744,-1.43666059,0.04387788,-1.450388392,-2.584113142,0.325767885,-0.858251391,-0.065429943,-0.099287846,-0.913321288,-2.093297082
79,2.983057672,-6.116375313,-9.483454556,-12.30277731,-7.880167297,-10.31734148,-2.503889527,-4.957439456,-6.086555196,-10.76849448,-13.36837881,-7.799559096,-11.05089017,-5.387677564,-7.912793052,-7.901926709,-10.43083802,-8.460236397,-5.293796515,-13.37669397,-5.878027843,-2.967848006,-2.594052291,0.865733186,-1.87842892,-4.913814492,3.006456659,-4.948804555
80,0.298305767,-1.179970686,-0.225656502,-0.469749734,-1.220381669,-0.345053583,-1.088377693,0.251354789,-0.41434484,-0.231489322,-0.553287083,-0.900461561,-0.472723773,0.705539087,0.328060154,-1.080584856,-0.184212587,-0.16327525,0.82027554,-0.574219151,-2.531692379,-1.438001403,-1.490339376,-2.443803029,-1.450158604,-1.528888251,-2.983798256,-1.667308924
81,0.298305767,-0.698078284,-0.14327871,-0.969649394,-0.941284299,-0.415093249,-0.109030919,0.626510302,-1.598663547,-2.673526037,-3.67232927,-2.758600508,-3.043895681,-0.993254917,-2.296160957,-0.671556738,-0.383796672,-1.122910624,0.887966241,-1.247575714,-0.390802254,-1.632337979,0.371752707,-2.757084245,-1.792296774,-2.260237471,-3.003382667,-2.546611486
85,0.298305767,-2.031939091,-0.889714734,-0.343533495,-2.082416881,-0.624157493,-2.672951063,-1.439012815,0.663820387,1.155911379,1.223238352,0.473973276,1.176319037,0.782721066,0.429336598,-1.312494989,-0.315783935,-0.213769932,1.532417457,-0.22396347,-1.955867823,-0.268209081,-1.353632018,-4.098196882,-3.380178914,-2.81436867,-4.972030822,-1.561490255
98,1.014933568,-1.458045165,-1.035114013,-1.33886396,-1.649587881,-0.979145912,-0.798188742,-0.006654015,-0.294969388,-0.59402341,-1.033333252,-0.656733985,-0.748450083,0.424462569,-0.322691992,-1.230395994,-0.707110247,0.143889758,1.042555464,-1.25907642,-1.77716707,-1.095523652,-1.280261158,-1.76439752,-1.005936094,-1.183455067,-2.116892814,-2.367758948
108,0.298305767,-0.767451084,-0.086026094,-0.617372454,-0.876894519,-0.049788625,-0.93828933,-0.767879035,-1.115064512,-2.202509028,-3.168396666,-2.159558051,-2.567756122,-1.835537811,-3.221978948,-0.712835431,-0.365473865,-1.754482403,1.308888207,-0.831144099,1.371598993,-0.837748475,1.109457209,-4.525751626,-3.974909361,-4.254213131,-4.966622702,-2.697130428
112,0.298305767,-2.901402347,-4.517237046,-5.422014381,-3.959315834,-5.136980398,-3.203536213,-3.821375087,1.952932984,-0.954524278,-2.025488082,0.503331729,-1.369928365,0.536834484,-1.581118008,-3.867773159,-4.970690901,-2.851201254,1.36260096,-6.304012243,-0.889665017,2.573964456,-0.203867598,-4.410557105,-4.812847711,-5.684690794,-5.42084601,-3.25467471
113,2.983057672,-3.438302595,-2.076734196,-1.637721549,-3.70144622,-1.673233399,-1.307560223,0.270138328,-2.951445788,-2.317796894,-2.732414407,-2.612943291,-2.081441496,-0.747401439,-0.649697242,-2.120708375,-1.067483751,-0.47729636,0.071901229,-1.155821833,-3.161001207,-1.928376083,-0.743187101,-0.357362578,0.835891786,1.81641819,-0.281351967,-2.045242087
119,0.298305767,-3.110743886,-3.400978944,-3.109485501,-3.694438196,-3.29213295,-3.698368196,-3.280778827,1.737400974,1.25472417,1.024457469,1.818680968,1.177265075,1.28234284,0.786536875,-3.065766407,-3.004239578,-1.167960872,1.091302531,-3.294252792,-2.337236201,1.736127074,-1.438677831,-3.522970981,-3.504765563,-3.23992799,-4.679364944,-2.102275485
135,0.298305767,-1.757066028,-0.310101515,0.62626903,-1.398777973,0.62551371,-3.404623475,-2.637599646,-0.590438364,0.865557914,0.705614879,0.654286171,0.879533363,-1.443424189,-1.207015941,-0.672638439,0.296005253,-1.764132453,0.087949547,1.374404029,-0.60530105,-0.509964963,-0.724771977,-4.595142904,-4.301272376,-3.374774001,-5.500752835,-1.092904297
138,0.298305767,-1.961465118,-0.756096904,-0.697869316,-2.401566602,-1.006567082,-2.11571247,-0.878462012,-1.20792304,-1.236954574,-1.789922986,-2.115965916,-1.688064987,-0.129411725,-0.648436863,-2.06613321,-0.978961555,-1.697750008,0.776093818,-1.202473986,-1.754787872,-0.636320314,0.232342703,-3.694100897,-2.60620785,-2.110612977,-3.64373605,-1.506561704
144,1.411537844,-0.712621648,0.913865773,1.224368911,-0.761227723,1.414026033,-1.708439046,-1.377455646,-3.217704385,-2.501346708,-3.245220474,-3.700807265,-3.005740315,-3.206521981,-3.088202799,-0.850655768,0.47081855,-3.523139019,-1.207317807,0.993805121,0.405186313,-1.43715639,2.020057938,-3.650336111,-2.89331737,-2.409111626,-3.87647646,-1.607204919
146,1.53682049,-0.158649157,1.086114319,0.908828245,-0.473916868,0.983268975,-1.769970185,-1.703322406,-2.054059071,-1.691879312,-2.523049411,-2.884420682,-2.436535002,-2.295967455,-2.302613819,-1.168223544,-0.130099848,-3.437027823,-0.951980118,0.087761553,0.213294915,-0.570224458,1.480318475,-3.6981412,-3.234575981,-2.989624296,-3.928781013,-2.026491838
150,0.507353144,1.614186545,3.460988878,2.02878838,2.31757637,3.419617409,0.152370001,0.864563002,-2.694980318,-2.307273574,-3.59727199,-3.778610538,-3.215245477,-2.827021163,-3.542903926,1.464989885,2.458921061,-1.895920665,-0.481422213,1.754160832,0.333751606,-4.153721297,-0.268292494,-4.291913132,-3.363310183,-4.097983709,-5.40476417,-1.217250337
151,0.298305767,-0.770633687,0.9239483,1.223529586,-0.707046949,0.939440612,-2.26319868,-1.117837034,-0.050530987,0.850524423,0.654616248,-0.374300087,0.588600371,-0.349050059,-0.466247654,-0.526864743,0.844302744,-0.712100811,1.354438055,1.060120969,-0.787002206,-0.804969512,-0.614502879,-4.7096637,-3.991747053,-3.352396247,-5.384067326,-1.672714699
166,1.168248403,-1.803197368,-0.022334889,0.662385272,-1.764011614,0.192060927,-2.200864783,-0.540643226,-0.866265269,-0.031477895,-0.154444173,-1.254531605,-0.271069982,-0.141146054,-0.178598139,-1.183459566,0.349583777,-0.553896669,1.225950008,0.59670836,-1.978284925,-1.406691775,-0.923103555,-4.161412175,-2.981587843,-2.243386914,-4.487375628,-0.999362472
175,0.660975387,-1.216038345,-0.553106876,-0.772095633,-1.153863618,-0.291013779,-2.296516311,-2.034379566,-3.013822248,-2.902248414,-3.856067812,-3.402402909,-3.408811818,-3.398809467,-3.985057282,-1.311311813,-0.812397441,-3.65770422,-1.683578948,-0.525391921,-0.436662557,-2.750935798,-0.41463519,-5.159878363,-4.388217588,-4.831769238,-5.605257875,0.453059797
196,0.523767792,1.335429522,1.059363011,-0.367661303,1.088835755,0.605038581,-1.628096654,-1.934648741,1.570006012,1.007102021,-0.148592003,0.11673841,-0.154415589,0.001027461,-0.932126486,-0.483669294,-0.337682613,-1.803500501,0.181423338,-1.386479524,-0.529700652,-0.389023743,-1.072485484,-4.685461757,-4.857294697,-5.866025282,-6.183994971,-1.772650368
203,0.86647298,0.920078362,3.150469135,2.740764844,1.377597725,3.123490725,-0.845921086,0.00861939,-2.400679285,-1.573408019,-2.367358302,-3.171563291,-2.325569778,-2.712922077,-2.962548388,0.735796105,2.241708621,-2.120703047,-0.180697781,2.375957058,0.804355989,-2.832834663,0.553271106,-4.708504389,-3.847744329,-3.681196164,-5.4373934,-1.420804393
211,0.62302036,-1.127111084,1.175516166,1.875858573,-0.672739499,1.656824306,-2.732129274,-1.222997129,-1.886572995,-0.147470292,-0.274049498,-1.807480227,-0.631197053,-1.734079188,-1.465203712,-0.377309603,1.312640906,-1.919444422,-0.047917711,2.017314453,-1.373821226,-2.212477153,-0.694629789,-5.154618112,-4.120454814,-3.316171674,-5.684934087,-0.239870469
216,1.155508473,-0.214910982,1.641571499,1.347132966,0.077824019,1.771597226,0.445899618,2.032586415,-3.336155766,-2.704631008,-3.412928664,-3.995228871,-3.196060817,-1.699705857,-2.03885379,0.197751217,1.536058185,-0.758487153,-0.111485294,1.348496276,-1.532402094,-3.917371112,-0.523948781,-1.993967858,-0.414887415,-0.651174528,-2.394938257,-1.503436643
219,0.298305767,-2.129925179,-1.272292951,-0.995126814,-2.143465668,-1.019155943,-2.39614343,-1.315187235,0.298796938,0.259009838,-0.061387998,0.038940969,0.129903783,0.035771051,-0.698890729,-1.389854768,-0.517903657,-0.362486254,1.473980415,-0.648486525,-1.438282366,-0.895881334,-1.487806416,-4.70771411,-3.832918844,-3.705663426,-5.549177862,-0.962561013
220,0.298305767,-2.691196854,-1.748890899,-0.744532781,-3.009175053,-1.168772529,-4.376829635,-4.202140893,-0.163168882,0.829015883,0.699076944,0.360415138,0.80072346,-0.992762088,-0.628834831,-2.544620317,-1.672043612,-2.95099073,-0.255241745,-0.864515186,-0.681623004,1.711939225,0.524135299,-4.419875212,-4.439416795,-3.342161593,-5.075182259,-1.740048064
223,0.298305767,-1.781089988,-0.452341268,0.246890477,-2.029728846,-0.261314048,-3.681714185,-3.26929716,-1.003199453,-0.026743808,-0.456436103,-1.181051409,-0.576966446,-1.565103714,-1.26999707,-2.046519829,-0.832606455,-3.274920252,-0.620043406,-0.271831673,-0.592687479,0.4273009,0.726359204,-4.955074409,-4.577392059,-3.732824658,-5.381823451,-0.990921573
224,0.298305767,-0.773214585,0.916376899,1.064143427,-0.715560696,0.965244864,-1.880185761,-0.596830691,-0.225931938,0.560400609,0.30671659,-0.896743811,-0.03105444,0.219808337,-0.069041729,-0.742734315,0.781719122,-0.696438761,1.075277687,0.655561431,-1.513470818,-1.001956197,-0.60370843,-4.043271701,-3.159324278,-2.646924939,-4.569784312,-1.648301789
225,0.480261657,0.338922077,0.77925914,0.067629236,0.666576946,1.162848291,-0.725705647,-1.194184883,-1.645505037,-2.710007427,-3.956815389,-2.198332541,-2.999505306,-3.887952001,-5.397580078,0.614102295,0.70518971,-2.535080856,0.249995123,0.452838974,3.866171783,-1.806467138,1.108831246,-5.603850719,-5.381218667,-6.256904708,-6.948213774,-1.901516227
