"Preference Share","1 Item","2 Item"
0.340567747138685,"X23","X39"
0.321437636020087,"X20","X23"
0.317764488967571,"X5","X23"
0.313177184134119,"X23","X29"
0.30789763130679,"X3","X23"
0.298436717879712,"X13","X23"
0.295717448176556,"X3","X39"
0.287902796317356,"X9","X23"
0.287397009576053,"X18","X23"
0.286875427474312,"X12","X23"
0.278259475925701,"X3","X20"
0.27351356688125,"X3","X5"
0.273057631395881,"X20","X39"
0.266662746900286,"X3","X29"
0.26657761388112,"X5","X39"
0.265052342977514,"X29","X39"
0.259237228270216,"X9","X39"
0.250243001876878,"X3","X13"
0.245398837707252,"X18","X39"
0.244256224109281,"X3","X9"
0.24383214889061,"X3","X18"
0.241036683244868,"X13","X39"
0.240271962070246,"X3","X12"
0.236518606894582,"X9","X20"
0.233134137077145,"X1","X23"
0.233134137077145,"X2","X23"
0.233134137077145,"X4","X23"
0.233134137077145,"X6","X23"
0.233134137077145,"X7","X23"
0.233134137077145,"X8","X23"
0.233134137077145,"X10","X23"
0.233134137077145,"X11","X23"
0.233134137077145,"X14","X23"
0.233134137077145,"X15","X23"
0.233134137077145,"X16","X23"
0.233134137077145,"X17","X23"
0.233134137077145,"X19","X23"
0.233134137077145,"X21","X23"
0.233134137077145,"X22","X23"
0.233134137077145,"X23","X24"
0.233134137077145,"X23","X25"
0.233134137077145,"X23","X26"
0.233134137077145,"X23","X27"
0.233134137077145,"X23","X28"
0.233134137077145,"X23","X30"
0.233134137077145,"X23","X31"
0.233134137077145,"X23","X32"
0.233134137077145,"X23","X33"
0.233134137077145,"X23","X34"
0.233134137077145,"X23","X35"
0.233134137077145,"X23","X36"
0.233134137077145,"X23","X37"
0.233134137077145,"X23","X38"
0.233134137077145,"X23","X40"
0.23154715101288,"X5","X9"
0.22623697520205,"X9","X29"
0.220836959738871,"X13","X20"
0.218562018558894,"X18","X20"
0.218532558064979,"X12","X20"
0.215554877753398,"X12","X39"
0.213847762262332,"X5","X13"
0.213754890142035,"X5","X18"
0.213552808175651,"X9","X13"
0.213110350262459,"X5","X12"
0.209326330293268,"X18","X29"
