"Preference Share","1 Item","2 Item","3 Item"
0.416206199687395,"X20","X23","X39"
0.412815994060767,"X5","X23","X39"
0.409401624867126,"X23","X29","X39"
0.398522017937103,"X3","X23","X39"
0.385415818914063,"X13","X23","X39"
0.384566662471361,"X9","X23","X39"
0.384046707776811,"X18","X23","X39"
0.383302984236369,"X3","X20","X23"
0.380419801240447,"X3","X5","X23"
0.379160780559917,"X3","X20","X39"
0.374807007437951,"X3","X5","X39"
0.374316737398534,"X3","X23","X29"
0.37134486661342,"X13","X20","X23"
0.370449650579822,"X5","X20","X23"
0.370278243806416,"X12","X23","X39"
0.36993656608334,"X12","X20","X23"
0.369652108838344,"X3","X29","X39"
0.368824294332709,"X9","X20","X23"
0.368448335253484,"X20","X23","X29"
0.367604582784717,"X5","X13","X23"
0.367308311870628,"X5","X12","X23"
0.366208240941675,"X18","X20","X23"
0.366162970205342,"X5","X9","X23"
0.363736016154724,"X5","X18","X23"
0.363521665998178,"X5","X23","X29"
0.362242763308366,"X13","X23","X29"
0.36193373472492,"X12","X23","X29"
0.360546110992306,"X9","X23","X29"
0.358413032105648,"X18","X23","X29"
0.358144064676077,"X3","X13","X23"
0.353209630426264,"X9","X20","X39"
0.351077717724094,"X3","X12","X23"
0.350395366033355,"X3","X18","X23"
0.348803434402295,"X5","X9","X39"
0.348183068171057,"X3","X9","X23"
0.347573269421332,"X3","X9","X39"
0.346650781683522,"X3","X18","X39"
0.344782813061126,"X9","X29","X39"
0.344192228436224,"X9","X13","X23"
0.343851591789289,"X13","X18","X23"
0.343734028597438,"X12","X13","X23"
0.34354450311952,"X3","X13","X39"
0.340567747138685,"X1","X23","X39"
0.340567747138685,"X2","X23","X39"
0.340567747138685,"X4","X23","X39"
0.340567747138685,"X6","X23","X39"
0.340567747138685,"X7","X23","X39"
0.340567747138685,"X8","X23","X39"
0.340567747138685,"X10","X23","X39"
0.340567747138685,"X11","X23","X39"
0.340567747138685,"X14","X23","X39"
0.340567747138685,"X15","X23","X39"
0.340567747138685,"X16","X23","X39"
0.340567747138685,"X17","X23","X39"
0.340567747138685,"X19","X23","X39"
0.340567747138685,"X21","X23","X39"
0.340567747138685,"X22","X23","X39"
0.340567747138685,"X23","X24","X39"
0.340567747138685,"X23","X25","X39"
0.340567747138685,"X23","X26","X39"
0.340567747138685,"X23","X27","X39"
0.340567747138685,"X23","X28","X39"
0.340567747138685,"X23","X30","X39"
0.340567747138685,"X23","X31","X39"
0.340567747138685,"X23","X32","X39"
0.340567747138685,"X23","X33","X39"
0.340567747138685,"X23","X34","X39"
0.340567747138685,"X23","X35","X39"
0.340567747138685,"X23","X36","X39"
0.340567747138685,"X23","X37","X39"
0.340567747138685,"X23","X38","X39"
0.340567747138685,"X23","X39","X40"
0.33821634292881,"X18","X20","X39"
0.333974386238482,"X5","X18","X39"
0.333847185851857,"X12","X18","X23"
0.332647438226797,"X3","X9","X20"
0.331709275082697,"X9","X12","X23"
0.33145482742473,"X3","X12","X20"
0.330977957917683,"X3","X5","X20"
0.330794720227376,"X3","X13","X20"
0.330541032491931,"X18","X29","X39"
0.329726035379283,"X3","X18","X20"
0.329245431995922,"X3","X5","X9"
0.329106388414052,"X3","X12","X39"
0.328930870325707,"X13","X20","X39"
0.328474329432468,"X20","X29","X39"
0.328109085831464,"X5","X20","X39"
0.327916975237525,"X3","X5","X12"
0.327682119555798,"X3","X20","X29"
0.32759422617528,"X9","X18","X23"
0.326523352918318,"X3","X5","X18"
0.32607528428825,"X3","X5","X13"
0.322754406628597,"X5","X13","X39"
0.321756244962039,"X3","X5","X29"
0.321675488664228,"X3","X9","X29"
0.321437636020087,"X1","X20","X23"
0.321437636020087,"X2","X20","X23"
0.321437636020087,"X4","X20","X23"
0.321437636020087,"X6","X20","X23"
0.321437636020087,"X7","X20","X23"
0.321437636020087,"X8","X20","X23"
0.321437636020087,"X10","X20","X23"
0.321437636020087,"X11","X20","X23"
0.321437636020087,"X14","X20","X23"
0.321437636020087,"X15","X20","X23"
0.321437636020087,"X16","X20","X23"
0.321437636020087,"X17","X20","X23"
0.321437636020087,"X19","X20","X23"
0.321437636020087,"X20","X21","X23"
0.321437636020087,"X20","X22","X23"
