Item,Fixed,Weight,Client,Price,Bucket
1,No,0,Yes,9900,ACOMPAÑAMIENTOS.ALC
2,No,0,Yes,21950,SAND.ALC + BEBIDA
3,No,1,Yes,21900,EVMs + POSTRES
4,No,0,Yes,59900,FAMILIARES
5,No,1,Yes,79900,FAMILIARES
6,No,0,Yes,22900,EVMs
7,No,0,Yes,20900,EVMs
8,No,0,Yes,19900,EVMs
9,No,1,Yes,16900,EVMs
10,No,0,Yes,26900,EVMs + ACOMPAÑAMIENTO
11,No,0,Yes,7500,POSTRES
12,No,1,Yes,5700,POSTRES
13,No,1,Yes,29900,EVMs + POSTRES
14,No,0,Yes,2900,POSTRES
15,No,0,Yes,8600,POSTRES
16,No,0,Yes,21950,SAND.ALC + BEBIDA
17,No,0,Yes,21950,SAND.ALC + BEBIDA
18,No,1,Yes,21950,SAND.ALC + BEBIDA
19,No,0,Yes,21950,SAND.ALC + BEBIDA
20,No,1,Yes,69350,FAMILIARES
21,No,0,Yes,21900,EVMs + POSTRES
22,No,0,Yes,21900,EVMs + POSTRES
23,No,1,Yes,21900,EVMs + POSTRES
24,No,0,Yes,21900,EVMs + POSTRES
25,No,0,Yes,29240,EVMs + ACOMPAÑAMIENTO
26,No,0,Yes,46665,ACOMPAÑAMIENTOS.ALC + BEBIDA
27,No,0,Yes,44540,CAJITA FELIZ
28,No,0,Yes,59900,FAMILIARES
29,No,1,Yes,59900,FAMILIARES
30,No,0,Yes,59900,FAMILIARES
31,No,0,Yes,59900,FAMILIARES
32,No,0,Yes,21500,CAJITA FELIZ
33,No,0,Yes,21500,CAJITA FELIZ
34,No,0,Yes,21500,CAJITA FELIZ
35,No,0,Yes,21500,CAJITA FELIZ
36,No,0,Yes,15600,POSTRES
37,No,0,Yes,15600,POSTRES
38,No,0,Yes,15600,POSTRES
39,No,1,Yes,15600,POSTRES
40,No,0,Yes,15600,POSTRES
41,,1,No,25900,EVMs
42,,1,No,27900,EVMs
43,,1,No,26900,EVMs
44,,1,No,15600,POSTRES
45,,1,No,23900,EVMs
46,,1,No,22900,EVMs
47,,1,No,35900,FAMILIARES
48,,1,No,52800,FAMILIARES
49,,1,No,74900,FAMILIARES
50,,1,No,20900,EVMs
none,,1,0,0,0
